"","x"
"1","A1BG|1"
"736","CDC42|998"
"737","CDH1|999"
"738","CDH2|1000"
"739","CDH3|1001"
"740","CDH4|1002"
"741","CDH5|1003"
"742","CDH6|1004"
"743","CDH7|1005"
"744","CDH8|1006"
"745","CDH9|1007"
"746","CDH10|1008"
"747","CDH11|1009"
"748","CDH12|1010"
"749","CDH13|1012"
"750","CDH15|1013"
"751","CDH16|1014"
"752","CDH17|1015"
"753","CDH18|1016"
"754","CDK2|1017"
"755","CDK3|1018"
"756","CDK4|1019"
"757","CDK5|1020"
"758","CDK6|1021"
"759","CDK7|1022"
"760","CDK8|1024"
"761","CDK9|1025"
"762","CDKN1A|1026"
"763","CDKN1B|1027"
"764","CDKN1C|1028"
"765","CDKN2A|1029"
"766","CDKN2B|1030"
"767","CDKN2C|1031"
"768","CDKN2D|1032"
"769","CDKN3|1033"
"770","CDO1|1036"
"771","CDR1|1038"
"772","CDR2|1039"
"773","CDS1|1040"
"774","CDSN|1041"
"775","CD52|1043"
"776","CDX1|1044"
"777","CDX2|1045"
"778","CDX4|1046"
"779","CLGN|1047"
"780","CEACAM5|1048"
"781","CEBPA|1050"
"782","CEBPB|1051"
"783","CEBPD|1052"
"784","CEBPE|1053"
"785","CEBPG|1054"
"786","CEL|1056"
"787","CELP|1057"
"788","CENPA|1058"
"789","CENPB|1059"
"790","CENPC1|1060"
"791","CENPE|1062"
"792","CENPF|1063"
"793","CES1|1066"
"794","CETN1|1068"
"795","CETN2|1069"
"796","CETN3|1070"
"797","CETP|1071"
"798","CFL1|1072"
"799","CFL2|1073"
"800","CTSC|1075"
"801","CFTR|1080"
"802","CGA|1081"
"803","CGB|1082"
"804","CGB|1082"
"805","CGB|1082"
"806","CEACAM3|1084"
"807","CEACAM7|1087"
"808","CEACAM8|1088"
"809","CEACAM4|1089"
"810","CHAD|1101"
"811","RCBTB2|1102"
"812","CHAT|1103"
"813","RCC1|1104"
"814","CHD1|1105"
"815","CHD2|1106"
"816","CHD3|1107"
"817","CHD4|1108"
"818","AKR1C4|1109"
"819","CHEK1|1111"
"820","FOXN3|1112"
"821","CHGA|1113"
"822","CHGB|1114"
"823","CHI3L1|1116"
"824","CHI3L2|1117"
"825","CHIT1|1118"
"826","CHKA|1119"
"827","CHKB|1120"
"828","CHM|1121"
"829","CHML|1122"
"830","CHN1|1123"
"831","CHN2|1124"
"832","CHRM1|1128"
"833","CHRM2|1129"
"834","LYST|1130"
"835","CHRM3|1131"
"836","CHRM4|1132"
"837","CHRM5|1133"
"838","CHRNA1|1134"
"839","CHRNA2|1135"
"840","CHRNA3|1136"
"841","CHRNA4|1137"
"842","CHRNA5|1138"
"843","CHRNA7|1139"
"844","CHRNB1|1140"
"845","CHRNB2|1141"
"846","CHRNB3|1142"
"847","CHRNB4|1143"
"848","CHRND|1144"
"849","CHRNE|1145"
"850","CHRNG|1146"
"851","CHUK|1147"
"852","CIDEA|1149"
"853","CKB|1152"
"854","CIRBP|1153"
"855","CISH|1154"
"856","TBCB|1155"
"857","CKM|1158"
"858","CKMT1B|1159"
"859","CKMT1B|1159"
"860","CKMT2|1160"
"861","ERCC8|1161"
"862","CKS1B|1163"
"863","CKS1B|1163"
"864","CKS2|1164"
"865","AP2M1|1173"
"866","AP1S1|1174"
"867","AP2S1|1175"
"868","AP3S1|1176"
"869","CLC|1178"
"870","CLCA1|1179"
"871","CLCN1|1180"
"872","CLCN2|1181"
"873","CLCN3|1182"
"874","CLCN4|1183"
"875","CLCN5|1184"
"876","CLCN6|1185"
"877","CLCN7|1186"
"878","CLCNKA|1187"
"879","CLCNKB|1188"
"880","CLU|1191"
"881","CLIC1|1192"
"882","CLIC2|1193"
"883","CLK1|1195"
"884","CLK2|1196"
"885","CLK3|1198"
"886","TPP1|1200"
"887","CLN3|1201"
"888","CLN3|1201"
"889","CLN5|1203"
"890","CLNS1A|1207"
"891","CLPS|1208"
"892","CLPTM1|1209"
"893","CLTA|1211"
"894","CLTB|1212"
"895","CLTC|1213"
"896","CMA1|1215"
"897","CCR1|1230"
"898","CCR3|1232"
"899","CCR4|1233"
"900","CCR5|1234"
"901","CCR6|1235"
"902","CCR7|1236"
"903","CCR8|1237"
"904","CCBP2|1238"
"905","CMKLR1|1240"
"906","LTB4R|1241"
"907","ABCC2|1244"
"908","CNGB1|1258"
"909","CNGA1|1259"
"910","CNGA2|1260"
"911","CNGA3|1261"
"912","CNGA4|1262"
"913","PLK3|1263"
"914","CNN1|1264"
"915","CNN2|1265"
"916","CNN3|1266"
"917","CNP|1267"
"918","CNR1|1268"
"919","CNR2|1269"
"920","CNTF|1270"
"921","CNTFR|1271"
"922","CNTN1|1272"
"923","COL1A1|1277"
"924","COL1A2|1278"
"925","COL2A1|1280"
"926","COL3A1|1281"
"927","COL4A1|1282"
"928","COL4A2|1284"
"929","COL4A3|1285"
"930","COL4A4|1286"
"931","COL4A5|1287"
"932","COL4A6|1288"
"933","COL5A1|1289"
"934","COL5A2|1290"
"935","COL6A1|1291"
"936","COL6A2|1292"
"937","COL6A3|1293"
"938","COL7A1|1294"
"939","COL8A1|1295"
"940","COL8A2|1296"
"941","COL9A1|1297"
"942","COL9A2|1298"
"943","COL9A3|1299"
"944","COL10A1|1300"
"945","COL11A1|1301"
"946","COL11A2|1302"
"947","COL12A1|1303"
"948","COL13A1|1305"
"949","COL15A1|1306"
"950","COL16A1|1307"
"951","COL17A1|1308"
"952","COL19A1|1310"
"953","COMP|1311"
"954","COMT|1312"
"955","COPA|1314"
"956","COPB1|1315"
"957","KLF6|1316"
"958","SLC31A1|1317"
"959","SLC31A2|1318"
"960","CORT|1325"
"961","MAP3K8|1326"
"962","COX4I1|1327"
"963","COX5B|1329"
"964","COX6A1|1337"
"965","COX6A2|1339"
"966","COX6B1|1340"
"967","COX6C|1345"
"968","COX7A1|1346"
"969","COX7A2|1347"
"970","COX7B|1349"
"971","COX7C|1350"
"972","COX8A|1351"
"973","COX10|1352"
"974","COX11|1353"
"975","COX15|1355"
"976","CP|1356"
"977","CPA1|1357"
"978","CPA2|1358"
"979","CPA3|1359"
"980","CPB1|1360"
"981","CPB2|1361"
"982","CPD|1362"
"983","CPE|1363"
"984","CLDN4|1364"
"985","CLDN3|1365"
"986","CLDN7|1366"
"987","CPM|1368"
"988","CPN1|1369"
"989","CPN2|1370"
"990","CPOX|1371"
"991","CPS1|1373"
"992","CPT1A|1374"
"993","CPT1B|1375"
"994","CPT2|1376"
"995","CR1|1378"
"996","CR1L|1379"
"997","CR2|1380"
"998","CRABP1|1381"
"999","CRABP2|1382"
"1000","CRAT|1384"
"1001","CREB1|1385"
"1002","ATF2|1386"
"1003","CREBBP|1387"
"1004","ATF6B|1388"
"1005","CREBL2|1389"
"1006","CREM|1390"
"1007","CRH|1392"
"1008","CRHBP|1393"
"1009","CRHR1|1394"
"1010","CRHR2|1395"
"1011","CRIP1|1396"
"1012","CRIP1|1396"
"1013","CRIP2|1397"
"1014","CRK|1398"
"1015","CRKL|1399"
"1016","CRMP1|1400"
"1017","CRP|1401"
"1018","HAPLN1|1404"
"1019","CRX|1406"
"1020","CRY1|1407"
"1021","CRY2|1408"
"1022","CRYAA|1409"
"1023","CRYAB|1410"
"1024","CRYBA1|1411"
"1025","CRYBA2|1412"
"1026","CRYBA4|1413"
"1027","CRYBB1|1414"
"1028","CRYBB2|1415"
"1029","CRYBB3|1417"
"1030","CRYGA|1418"
"1031","CRYGB|1419"
"1032","CRYGC|1420"
"1033","CRYGD|1421"
"1034","CRYGS|1427"
"1035","CRYM|1428"
"1036","CRYZ|1429"
"1037","CS|1431"
"1038","MAPK14|1432"
"1039","CSE1L|1434"
"1040","CSF1|1435"
"1041","CSF1R|1436"
"1042","CSF2|1437"
"1043","CSF2RA|1438"
"1044","CSF2RB|1439"
"1045","CSF3|1440"
"1046","CSF3R|1441"
"1047","CSH1|1442"
"1048","CSH1|1442"
"1049","CSH2|1443"
"1050","CSHL1|1444"
"1051","CSHL1|1444"
"1052","CSK|1445"
"1053","CSN1S1|1446"
"1054","CSN2|1447"
"1055","CSN3|1448"
"1056","CSNK1A1|1452"
"1057","CSNK1A1|1452"
"1058","CSNK1D|1453"
"1059","CSNK1E|1454"
"1060","CSNK1G2|1455"
"1061","CSNK1G3|1456"
"1062","CSNK2A1|1457"
"1063","CSNK2A2|1459"
"1064","CSNK2B|1460"
"1065","VCAN|1462"
"1066","NCAN|1463"
"1067","CSPG4|1464"
"1068","CSRP1|1465"
"1069","CSRP2|1466"
"1070","SLC25A10|1468"
"1071","SLC25A10|1468"
"1072","CST1|1469"
"1073","CST2|1470"
"1074","CST3|1471"
"1075","CST4|1472"
"1076","CST5|1473"
"1077","CST6|1474"
"1078","CSTA|1475"
"1079","CSTB|1476"
"1080","CSTF1|1477"
"1081","CSTF2|1478"
"1082","CSTF3|1479"
"1083","NKX2-5|1482"
"1084","CTAG1B|1485"
"1085","CTAG1B|1485"
"1086","CTBS|1486"
"1087","CTBP1|1487"
"1088","CTBP2|1488"
"1089","CTF1|1489"
"1090","CTGF|1490"
"1091","CTH|1491"
"1092","CTLA4|1493"
"1093","CTNNA1|1495"
"1094","CTNNA2|1496"
"1095","CTNS|1497"
"1096","CTNNB1|1499"
"1097","CTNND1|1500"
"1098","CTNND2|1501"
"1099","CTPS|1503"
"1100","CTRB1|1504"
"1101","CTRL|1506"
"1102","CTSB|1508"
"1103","CTSD|1509"
"1104","CTSE|1510"
"1105","CTSG|1511"
"1106","CTSH|1512"
"1107","CTSK|1513"
"1108","CTSL1|1514"
"1109","CTSL2|1515"
"1110","CTSO|1519"
"1111","CTSS|1520"
"1112","CTSW|1521"
"1113","CTSZ|1522"
"1114","CUX1|1523"
"1115","CX3CR1|1524"
"1116","CXADR|1525"
"1117","TEX28|1527"
"1118","TEX28|1527"
"1119","TEX28|1527"
"1120","CYB5A|1528"
"1121","CYB561|1534"
"1122","CYBA|1535"
"1123","CYBB|1536"
"1124","CYC1|1537"
"1125","CYLC1|1538"
"1126","CYLC2|1539"
"1127","CYLD|1540"
"1128","CYP1A1|1543"
"1129","CYP1A2|1544"
"1130","CYP1B1|1545"
"1131","CYP2A6|1548"
"1132","CYP2A6|1548"
"1133","CYP2A7|1549"
"1134","CYP3A7|1551"
"1135","CYP2A13|1553"
"1136","CYP2B6|1555"
"1137","CYP2B7P1|1556"
"1138","CYP2C19|1557"
"1139","CYP2C8|1558"
"1140","CYP2C9|1559"
"1141","CYP2C18|1562"
"1142","CYP2D6|1565"
"1143","CYP2E1|1571"
"1144","CYP2F1|1572"
"1145","CYP2J2|1573"
"1146","CYP3A4|1576"
"1147","CYP3A5|1577"
"1148","CYP4A11|1579"
"1149","CYP4A11|1579"
"1150","CYP4B1|1580"
"1151","CYP7A1|1581"
"1152","CYP8B1|1582"
"1153","CYP11A1|1583"
"1154","CYP11B1|1584"
"1155","CYP11B2|1585"
